code,name,market
601336,新华保险,.SH
002736,国信证券,.SZ
000776,广发证券,.SZ
600919,江苏银行,.SH
000166,申万宏源,.SZ
601229,上海银行,.SH
601009,南京银行,.SH
601169,北京银行,.SH
600015,华夏银行,.SH
601881,中国银河,.SH
600926,杭州银行,.SH
600958,东方证券,.SH
600918,中泰证券,.SH
601916,浙商银行,.SH
601901,方正证券,.SH
601788,光大证券,.SH
000617,中油资本,.SZ
601377,兴业证券,.SH
300033,同花顺,.SZ
600906,财达证券,.SH
600061,国投资本,.SH
601236,红塔证券,.SH
601878,浙商证券,.SH
601696,中银证券,.SH
601838,成都银行,.SH
601990,南京证券,.SH
601077,渝农商行,.SH
601162,天风证券,.SH
000783,长江证券,.SZ
601108,财通证券,.SH
600109,国金证券,.SH
002673,西部证券,.SZ
002945,华林证券,.SZ
600705,中航产融,.SH
000728,国元证券,.SZ
601577,长沙银行,.SH
000987,越秀金控,.SZ
601665,齐鲁银行,.SH
601555,XD东吴证,.SH
600369,西南证券,.SH
600095,湘财股份,.SH
002939,长城证券,.SZ
601198,东兴证券,.SH
601456,国联证券,.SH
002797,第一创业,.SZ
600390,五矿资本,.SH
601997,贵阳银行,.SH
600909,华安证券,.SH
601963,重庆银行,.SH
002966,苏州银行,.SZ
002926,华西证券,.SZ
002500,山西证券,.SZ
002936,郑州银行,.SZ
601187,厦门银行,.SH
000958,东方能源,.SZ
002608,江苏国信,.SZ
601099,太平洋,.SH
000750,国海证券,.SZ
002958,青农商行,.SZ
600928,西安银行,.SH
002948,青岛银行,.SZ
000686,东北证券,.SZ
002670,国盛金控,.SZ
002312,川发龙蟒,.SZ
002423,中粮资本,.SZ
601375,中原证券,.SH
600155,华创阳安,.SH
600621,华鑫股份,.SH
000627,天茂集团,.SZ
601528,瑞丰银行,.SH
601128,常熟银行,.SH
000415,渤海租赁,.SZ
000712,锦龙股份,.SZ
600901,江苏租赁,.SH
002415,海康威视,.SZ
601012,隆基股份,.SH
002475,立讯精密,.SZ
603501,韦尔股份,.SH
601138,工业富联,.SH
688981,中芯国际,.SH
000725,京东方Ａ,.SZ
200725,京东方Ｂ,.SZ
002371,北方华创,.SZ
600703,三安光电,.SH
688111,金山办公,.SH
000063,中兴通讯,.SZ
002129,中环股份,.SZ
002230,科大讯飞,.SZ
688036,传音控股,.SH
300782,卓胜微,.SZ
002241,歌尔股份,.SZ
603986,兆易创新,.SH
300433,蓝思科技,.SZ
688012,中微公司,.SH
603806,福斯特,.SH
688303,大全能源,.SH
600588,用友网络,.SH
688396,华润微,.SH
300454,深信服,.SZ
600745,闻泰科技,.SH
000100,TCL科技,.SZ
002049,紫光国微,.SZ
002179,中航光电,.SZ
002459,晶澳科技,.SZ
688599,天合光能,.SH
601360,三六零,.SH
600570,恒生电子,.SH
300408,三环集团,.SZ
002938,鹏鼎控股,.SZ
300628,亿联网络,.SZ
600460,士兰微,.SH
002410,广联达,.SZ
900926,宝信Ｂ,.SH
600845,宝信软件,.SH
002841,视源股份,.SZ
000938,紫光股份,.SZ
300316,晶盛机电,.SZ
688126,沪硅产业-U,.SH
603893,瑞芯微,.SH
688008,澜起科技,.SH
300223,北京君正,.SZ
603290,斯达半导,.SH
605358,立昂微,.SH
002236,大华股份,.SZ
300661,圣邦股份,.SZ
688561,奇安信-U,.SH
600584,长电科技,.SH
002414,高德红外,.SZ
300724,捷佳伟创,.SZ
002916,深南电路,.SZ
300496,中科创达,.SZ
600183,生益科技,.SH
688099,晶晨股份,.SH
002600,领益智造,.SZ
603160,汇顶科技,.SH
688002,睿创微纳,.SH
688538,和辉光电-U,.SH
300866,安克创新,.SZ
002555,三七互娱,.SZ
688777,中控技术,.SH
688536,思瑞浦,.SH
688188,柏楚电子,.SH
603019,中科曙光,.SH
002602,世纪华通,.SZ
000977,浪潮信息,.SZ
301029,N怡合达,.SZ
000066,中国长城,.SZ
688256,寒武纪-U,.SH
600563,法拉电子,.SH
000733,振华科技,.SZ
688608,恒玄科技,.SH
300390,天华超净,.SZ
603678,火炬电子,.SH
002008,大族激光,.SZ
002185,华天科技,.SZ
688208,道通科技,.SH
002624,完美世界,.SZ
688390,固德威,.SH
002180,纳思达,.SZ
688521,芯原股份-U,.SH
300458,全志科技,.SZ
300253,卫宁健康,.SZ
603444,吉比特,.SH
603267,鸿远电子,.SH
000050,深天马Ａ,.SZ
603613,国联股份,.SH
002384,东山精密,.SZ
300339,润和软件,.SZ
300747,锐科激光,.SZ
300671,富满电子,.SZ
600707,彩虹股份,.SH
000636,风华高科,.SZ
688200,华峰测控,.SH
300726,宏达电子,.SZ
